b.bbl,b.address,comp-1,comp-2,comp-3,node,o.name
1008120069,,1.6239588e-06,-5.541402e-07,-1.4713168e-06,property,
1009691017,415 EAST 37 STREET 6D NYC NY 10016,1.4746138e-06,-1.6015063e-06,-4.7256594e-07,property,
1008681384,80 PARK AVENUE 16H NYC NY 10016,1.1864436e-06,-5.117159e-06,-8.116749e-07,property,
1008661215,11 EAST 36 STREET 306 NYC NY 10016,3.713409e-06,1.6554263e-06,4.5504785e-06,property,
1008691146,445 5 AVENUE 28C NYC NY 10016,-6.725163e-06,6.670522e-07,-8.2311235e-06,property,
1009201200,250 EAST 40 STREET 37A NYC NY 10016,1.1997147e-06,4.4588114e-07,-3.4011217e-07,property,
1008681351,80 PARK AVENUE 12F NYC NY 10016,9.584656e-07,4.0297977e-07,6.869309e-07,property,
1009121241,200 EAST 32 STREET 5E NYC NY 10016,1.0445315e-06,7.2362645e-06,-2.1281107e-06,property,
1008631134,172 MADISON AVENUE 15A NYC NY 10016,1.5462671e-06,9.66904e-07,4.2378338e-07,property,
1009361239,333 EAST 30 STREET 19-A NYC NY 10016,1.1689868e-06,7.412364e-07,-8.30777e-07,property,
1008951024,104 EAST 40 STREET 901 NYC NY 10016,1.3481153e-06,8.9312294e-07,1.2852537e-06,property,
1008681506,425 5 AVENUE 18A NYC NY 10016,7.690075e-07,4.55824e-06,2.4564404e-06,property,
1007770037,300 7 AVENUE  NYC NY 10001,1.4405684e-06,1.6203907e-06,-1.2145537e-06,property,
1009361170,333 EAST 30 STREET 14-B NYC NY 10016,1.0759771e-06,1.2879402e-06,5.39104e-06,property,
1009362171,343 EAST 30 STREET 14-B NYC NY 10016,-1.6010906e-06,1.5868422e-06,4.8391403e-06,property,
1016440011,,9.696967e-07,2.6000992e-06,1.6115093e-06,property,
1003940041,,-1.0338584e-06,1.1165748e-06,-1.8772349e-06,property,
1008920026,,7.760682e-07,-1.0360336e-06,-3.2740663e-06,property,
1012220049,,1.1743183e-06,1.5361336e-06,9.302201e-07,property,
